Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
1/23/2005	7	              315.00	          6294094.00	              266.00	               27.00	            87717.00	               26.00
1/30/2005	7	              410.00	          6475214.00	              181.00	               39.00	           136722.00	               38.00
2/6/2005	7	              240.00	          3535572.00	              124.00	               31.00	           114447.00	               26.00
2/13/2005	7	              217.00	          2782837.00	              138.00	               27.00	           101082.00	               25.00
2/20/2005	7	              257.00	          3080236.00	              150.00	               24.00	            87717.00	               24.00
2/27/2005	7	              308.00	          4615965.00	              203.00	               50.00	           199092.00	               41.00
3/6/2005	7	              157.00	           677449.00	              125.00	               23.00	            92172.00	               23.00
3/13/2005	7	              114.00	           465895.00	              100.00	               16.00	            69897.00	               16.00
3/20/2005	7	              260.00	          3273133.00	              114.00	               28.00	           101082.00	               24.00
3/27/2005	7	              161.00	          1155101.00	              121.00	               23.00	            92172.00	               22.00
4/3/2005	7	              239.00	          2813532.00	              132.00	               24.00	            87717.00	               24.00
4/10/2005	7	              224.00	          2062095.00	              135.00	               28.00	           114447.00	               25.00
4/17/2005	7	              261.00	          1743272.00	              187.00	               22.00	            74352.00	               19.00
4/24/2005	7	              234.00	          2468490.00	              218.00	               26.00	            83262.00	               26.00
5/1/2005	7	              175.00	          1009064.00	              127.00	               27.00	            96627.00	               25.00
5/8/2005	7	              192.00	          1823459.00	              114.00	               25.00	           105537.00	               23.00
5/15/2005	7	              197.00	          3182622.00	               91.00	               20.00	            83262.00	               20.00
5/22/2005	7	              136.00	           779565.00	              120.00	               20.00	            78807.00	               19.00
5/29/2005	7	              151.00	          1459084.00	               85.00	               19.00	            74352.00	               18.00
6/5/2005	7	              327.00	          4857973.00	              137.00	               37.00	           141177.00	               33.00
6/12/2005	7	              185.00	          1654039.00	              120.00	               36.00	           132267.00	               32.00
6/19/2005	7	              278.00	          4176920.00	              205.00	               27.00	           114447.00	               24.00
6/26/2005	7	              165.00	          2270047.00	              134.00	               28.00	           109992.00	               24.00
7/3/2005	7	              344.00	          6396542.00	              142.00	               47.00	           176817.00	               41.00
7/10/2005	7	              209.00	          3798370.00	              140.00	               40.00	           163452.00	               39.00
7/17/2005	7	              185.00	          3765963.00	              166.00	               29.00	           118902.00	               28.00
7/24/2005	7	              244.00	          5131272.00	              139.00	               25.00	           105537.00	               24.00
7/31/2005	7	              234.00	          4511156.00	              125.00	               29.00	            96627.00	               27.00
8/7/2005	7	              301.00	          4704216.00	              134.00	               40.00	           163452.00	               38.00
8/14/2005	7	              186.00	          3230711.00	              141.00	               33.00	           132267.00	               31.00
8/21/2005	7	              143.00	          2718132.00	               62.00	               27.00	           105537.00	               27.00
8/28/2005	7	              128.00	          2401590.00	               53.00	               23.00	           101082.00	               23.00
9/4/2005	7	              442.00	          8639355.00	              125.00	               52.00	           204079.00	               46.00
9/11/2005	7	              191.00	          2903482.00	               97.00	               27.00	           114447.00	               25.00
9/18/2005	7	               76.00	          1002977.00	               55.00	               24.00	           105537.00	               24.00
9/25/2005	7	              186.00	          2799896.00	              104.00	               31.00	           132267.00	               30.00
10/2/2005	7	              241.00	          2913665.00	              146.00	               51.00	           199092.00	               45.00
10/9/2005	7	              383.00	          8462616.00	               85.00	               35.00	           127812.00	               32.00
10/16/2005	7	              255.00	          4962317.00	               76.00	               39.00	           158997.00	               34.00
10/23/2005	7	              125.00	          1736192.00	               66.00	               23.00	            98010.00	               23.00
10/30/2005	7	              213.00	          3226212.00	               85.00	               34.00	           129195.00	               31.00
11/6/2005	7	              348.00	          6353548.00	              131.00	               48.00	           191565.00	               39.00
11/13/2005	7	              165.00	          2353670.00	               80.00	               48.00	           191565.00	               37.00
11/20/2005	7	               83.00	           718428.00	               62.00	               24.00	            93555.00	               24.00
11/27/2005	7	              100.00	          1516884.00	               59.00	               25.00	           106920.00	               22.00
12/4/2005	7	              399.00	          5251083.00	              115.00	               47.00	           178200.00	               40.00
12/11/2005	7	              221.00	          2925154.00	               87.00	               34.00	           133650.00	               30.00
12/18/2005	7	              327.00	          4970564.00	               93.00	               31.00	            98010.00	               25.00
12/25/2005	7	              272.00	          2802538.00	              101.00	               39.00	           124740.00	               32.00
1/1/2006	7	              784.00	          7782050.00	              233.00	              229.00	           314901.00	               64.00
1/8/2006	7	              359.00	          3715568.00	              135.00	               49.00	           244728.00	               46.00
1/15/2006	7	              248.00	          2554772.00	              107.00	               41.00	           150174.00	               34.00
1/22/2006	7	              276.00	          1999643.00	              116.00	               73.00	           134148.00	               28.00
1/29/2006	7	              289.00	          2335808.00	              113.00	               28.00	           147472.00	               28.00
2/5/2006	7	              387.00	          3269284.00	              172.00	               44.00	           215536.00	               38.00
2/12/2006	7	              320.00	          2678490.00	              129.00	               35.00	           153144.00	               33.00
2/19/2006	7	              385.00	          4898474.00	              119.00	               42.00	           170160.00	               28.00
2/26/2006	7	              362.00	          2961588.00	              191.00	               36.00	           147472.00	               31.00
3/5/2006	7	              347.00	          4622297.00	              121.00	               50.00	           232552.00	               43.00
3/12/2006	7	              355.00	          3206652.00	              136.00	               58.00	           266584.00	               47.00
3/19/2006	7	              397.00	          4777323.00	              189.00	               44.00	           187176.00	               37.00
3/26/2006	7	              226.00	          1523408.00	              163.00	               62.00	           306288.00	               61.00
4/2/2006	7	              262.00	          2768900.00	              143.00	               45.00	           177832.00	               40.00
4/9/2006	7	              457.00	          5617653.00	              168.00	               54.00	           198520.00	               45.00
4/16/2006	7	              302.00	          4149224.00	              157.00	               26.00	           124784.00	               24.00
4/23/2006	7	              196.00	          6015180.00	              128.00	               40.00	           181504.00	               36.00
4/30/2006	7	              342.00	          9385583.00	              120.00	               41.00	           175832.00	               34.00
5/7/2006	7	              294.00	          6377623.00	              121.00	               55.00	           221208.00	               50.00
5/14/2006	7	              118.00	          2255599.00	               70.00	               36.00	           119112.00	               34.00
5/21/2006	7	              165.00	          2815717.00	              107.00	               34.00	           136128.00	               32.00
5/28/2006	7	              231.00	          5560900.00	              134.00	               38.00	           170160.00	               36.00
6/4/2006	7	              273.00	          7142324.00	              108.00	               54.00	           260912.00	               52.00
6/11/2006	7	              346.00	         12025399.00	               90.00	               33.00	           158816.00	               30.00
6/18/2006	7	              210.00	          5602818.00	               77.00	               20.00	           102096.00	               18.00
6/25/2006	7	              213.00	          4422232.00	               70.00	               27.00	           102096.00	               22.00
7/2/2006	7	              425.00	         10426765.00	              114.00	               45.00	           204192.00	               40.00
7/9/2006	7	              130.00	          2033845.00	               91.00	               23.00	            96424.00	               22.00
7/16/2006	7	              229.00	          4486318.00	               76.00	               42.00	           198520.00	               36.00
7/23/2006	7	              133.00	          2227636.00	               44.00	               24.00	            73736.00	               22.00
7/30/2006	7	               59.00	          1425001.00	               43.00	               21.00	            73736.00	               18.00
8/6/2006	7	              164.00	          6200142.00	               64.00	               28.00	           119112.00	               24.00
8/13/2006	7	              132.00	          3682735.00	               70.00	               42.00	           192848.00	               37.00
8/20/2006	7	              278.00	          6999720.00	              117.00	               41.00	           147472.00	               34.00
8/27/2006	7	              316.00	          6365565.00	              142.00	               27.00	            96424.00	               22.00
9/3/2006	7	              609.00	         19905212.00	               90.00	               48.00	           187176.00	               39.00
9/10/2006	7	              586.00	         13977887.00	              143.00	               94.00	           340320.00	               77.00
9/17/2006	7	              404.00	          7385110.00	              139.00	               79.00	           260912.00	               72.00
9/24/2006	7	              280.00	          3942551.00	              127.00	               48.00	           164488.00	               44.00
10/1/2006	7	              328.00	          7937646.00	              118.00	               43.00	           170160.00	               38.00
10/8/2006	7	              209.00	          3762415.00	               81.00	               43.00	           192848.00	               39.00
10/15/2006	7	              146.00	          1938172.00	               70.00	               42.00	           158816.00	               37.00
10/22/2006	7	              244.00	          4398725.00	               64.00	               32.00	            96424.00	               26.00
10/29/2006	7	              294.00	          4467659.00	               92.00	               50.00	           175832.00	               46.00
11/5/2006	7	              327.00	          4735208.00	               94.00	               47.00	           164488.00	               39.00
11/12/2006	7	              151.00	          2351009.00	               75.00	               42.00	           164488.00	               37.00
11/19/2006	7	              157.00	          2776323.00	               66.00	               35.00	           153144.00	               34.00
11/26/2006	7	               81.00	          1024078.00	               47.00	               31.00	           107768.00	               29.00
12/3/2006	7	              105.00	           804505.00	               72.00	               41.00	           119112.00	               40.00
12/10/2006	7	              400.00	          7721002.00	              144.00	               55.00	           215536.00	               52.00
